"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-17","2014-09-11",11001,"GENERAL ACHA","La Pampa","Nacional","2014","12","SEDAN 4 PUERTAS","37","RENAULT","YP","FLUENCE 1.6 16V CONFORT PLUS","1","Privado","Física","GENERAL ACHA","LA PAMPA","Masculino","1987","ARGENTINA",100,"42","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-31","1980-10-16",11005,"REALICO","La Pampa","Nacional","1980","12","SEDAN 4 PTAS","19","FORD","03","FALCON VERSION DE LUJO","1","Privado","Física","REALICO","LA PAMPA","No identificado","1972","ARGENTINA",100,"42","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-06","2016-06-02",1249,"BERISSO Nº 1","Buenos Aires","Nacional","2016","12","SEDAN 4 PUERTAS","34","PEUGEOT","MX","408 ACTIVE 1.6","1","Privado","Física","BERISSO","BUENOS AIRES","Masculino","1942","ARGENTINA",100,"06","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-23","2015-09-09",5011,"CORRIENTES Nº 2","Corrientes","Nacional","2015","12","SEDAN 4 PUERTAS","37","RENAULT","1H","FLUENCE PH2 2.0 LUXE","1","Privado","Física","CORRIENTES","CORRIENTES","Masculino","1976","ARGENTINA",100,"18","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-31","2004-11-08",11005,"REALICO","La Pampa","Nacional","2004","12","SEDAN 4 PUERTAS","53","VOLKSWAGEN","JT","POLO CLASSIC 1.9L  SD 31A","1","Privado","Física","REALICO","LA PAMPA","Masculino","1974","ARGENTINA",100,"42","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-10","1994-11-29",11002,"GENERAL PICO Nº 1","La Pampa","Nacional","1994","12","SEDAN 4 PTAS","37","RENAULT","AB","RENAULT 9 RL","1","Privado","Física","GENERAL PICO","LA PAMPA","Femenino","1980","ARGENTINA",100,"42","ARG"
"MEDIDAS JUDICIALES - LEVANTAMIENTO","2023-03-22","2018-12-12",15015,"NEUQUEN Nº 6","Neuquén","Nacional","2018","12","SEDAN 4 PUERTAS","08","CHEVROLET","ED","CRUZE 4P 1.4 TURBO LTZ MT","1","Privado","Física","NEUQUEN","NEUQUEN","Femenino","1972","ARGENTINA",100,"58","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-21","2013-08-09",4053,"CORDOBA Nº 13","Córdoba","Nacional","2013","12","SEDAN 4 PUERTAS","08","CHEVROLET","DC","CLASSIC 4 PTAS LS AA + DIR 1.4N","1","Privado","Física","CORDOBA","CORDOBA","Masculino","1981","ARGENTINA",100,"14","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-28","2008-03-28",21007,"ESPERANZA Nº 1","Santa Fe","Nacional","2008","12","SEDAN 4 PTAS","37","RENAULT","ST","MEGANE TRI 1.6 L PACK PLUS","1","Privado","Física","ESPERANZA","SANTA FE","No identificado","1974","ARGENTINA",100,"82","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-02","2019-05-09",8020,"PARANA Nº 2","Entre Ríos","Nacional","2019","12","SEDAN 4 PUERTAS","19","FORD","XJ","FOCUS 4P 2.0L N AT TITANIUM","1","Privado","Física","PARANÁ","ENTRE RIOS","Masculino","1989","ARGENTINA",100,"30","ARG"
"MEDIDAS JUDICIALES - LEVANTAMIENTO","2023-03-03","2015-01-13",4051,"SAN FRANCISCO Nº 2","Córdoba","Nacional","2015","12","SEDAN 4 PUERTAS","07","CITROEN","CD","C4 LOUNGE 143 TENDANCE AM15","1","Privado","Física","SAN FRANCISCO","CORDOBA","Masculino","1959","ARGENTINA",100,"14","ARG"
"MEDIDAS JUDICIALES - LEVANTAMIENTO","2023-03-03","2011-12-20",4055,"CORDOBA Nº 14","Córdoba","Nacional","2011","12","SEDAN 4 PUERTAS","34","PEUGEOT","KY","408 ALLURE+ 2.0N","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1950","ARGENTINA",100,"14","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-23","2012-05-30",10007,"PERICO","Jujuy","Nacional","2012","12","SEDAN 4 PTAS","37","RENAULT","WV","RENAULT FLUENCE 2.0 16V PRIVILEGE","1","Privado","Física","PERICO","JUJUY","Femenino","1985","ARGENTINA",100,"38","ARG"
"MEDIDAS JUDICIALES - LEVANTAMIENTO","2023-03-20","2003-01-03",4054,"MARCOS JUAREZ Nº 2","Córdoba","Nacional","2003","12","SEDAN 4 PTAS","19","FORD","RA","FOCUS EDGE 4P 2.0L N","1","Privado","Física","MONTE BUEY","CORDOBA","Femenino","1980","ARGENTINA",100,"14","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-28","2014-04-22",1293,"PILAR Nº 4","Buenos Aires","Nacional","2014","12","SEDAN 4 PUERTAS","17","FIAT","AZ","SIENA (F4) EL 1.4 8V","1","Privado","Física","PRESIDENTE DERQUI","BUENOS AIRES","Femenino","1981","ARGENTINA",100,"06","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-14","2008-01-25",17007,"SALTA Nº 3","Salta","Nacional","2008","12","SEDAN 4 PUERTAS","37","RENAULT","TA","KANGOO PACK 1.6 1 PLC","1","Privado","Física","SALTA","SALTA","Masculino","1947","ARGENTINA",100,"66","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-15","2022-07-11",1296,"MAR DEL PLATA Nº 12","Buenos Aires","Nacional","2022","12","SEDAN 4 PUERTAS","17","FIAT","CK","CRONOS PRECISION 1.8 MT","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","No identificado","1977","ARGENTINA",100,"06","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-22","1998-07-10",10002,"SAN PEDRO DE JUJUY","Jujuy","Nacional","1998","12","SEDAN 4 PTAS","17","FIAT","55","DUNA S","1","Privado","Física","LA ESPERANZA SAN PEDRO DE JUJUY","JUJUY","No identificado","1967","No identificado",100,"38",""
"MEDIDAS JUDICIALES - LEVANTAMIENTO","2023-03-09","2015-04-07",10007,"PERICO","Jujuy","Nacional","2015","12","SEDAN 4 PUERTAS","08","CHEVROLET","DX","CLASSIC 4 P LS ABS+AIRBAG 1.4N","1","Privado","Física","PERICO","JUJUY","Masculino","1966","ARGENTINA",100,"38","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-08","2011-05-19",10003,"SAN SALVADOR DE JUJUY Nº 1","Jujuy","Nacional","2011","12","SEDAN 4 PTAS","37","RENAULT","WT","FLUENCE 2.0 16V DYNAMIQUE","1","Privado","Física","SAN SALVADOR DE JUJUY","JUJUY","Femenino","1941","ARGENTINA",50,"38","ARG"
"MEDIDAS JUDICIALES - LEVANTAMIENTO","2023-03-06","1998-09-08",18004,"SAN JUAN Nº 4","San Juan","Nacional","1998","12","SEDAN 4 PTAS","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS.","1","Privado","Física","CHIMBAS","SAN JUAN","No identificado","1981","No identificado",100,"70",""
"MEDIDAS JUDICIALES - ANOTACION","2023-03-31","2009-01-30",21037,"SAN GENARO","Santa Fe","Importado","2009","12","FAMILIAR","104","PEUGEOT","569","807 SR 2.0","1","Privado","Física","TOTORAS","SANTA FE","Masculino","1970","ARGENTINA",50,"82","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-20","2017-10-13",21021,"SAN JUSTO","Santa Fe","Nacional","2017","12","SEDAN 4 PUERTAS","08","CHEVROLET","EF","CRUZE 4P 1.4 TURBO LT MT","1","Privado","Física","VERA Y PINTADO","SANTA FE","Masculino","1949","ARGENTINA",100,"82","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-14","1979-11-26",8026,"GUALEGUAY Nº 2","Entre Ríos","Nacional","1979","12","SEDAN 4 PTAS","34","PEUGEOT","03","504","1","Privado","Física","GUALEGUAY","ENTRE RIOS","Masculino","1970","ARGENTINA",100,"30","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-13","1998-03-05",8025,"PARANA Nº 4","Entre Ríos","Nacional","1998","12","SEDAN 4 PTAS","34","PEUGEOT","70","504 GD","1","Privado","Física","PARANA","ENTRE RIOS","No identificado","1978","No identificado",100,"30",""
"MEDIDAS JUDICIALES - ANOTACION","2023-03-17","2013-11-28",4057,"VILLA MARIA Nº 3","Córdoba","Nacional","2013","12","SEDAN 4 PUERTAS","37","RENAULT","YP","FLUENCE 1.6 16V CONFORT PLUS","1","Privado","Física","VILLA MARIA","CORDOBA","Masculino","1982","ARGENTINA",100,"14","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-28","2013-01-16",15013,"PLOTTIER Nº 2","Neuquén","Nacional","2013","12","SEDAN 4 PTAS","37","RENAULT","UZ","KANGOO AUTH. PLUS 1.5 DCI DA AA CD 1P","1","Privado","Física","SENILLOSA","NEUQUEN","No identificado","1984","CHINA",100,"58","CHN"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-08","2016-08-16",19007,"SAN LUIS Nº 2","San Luis","Nacional","2016","12","SEDAN 4 PUERTAS","07","CITROEN","EB","C4 LOUNGE THP 165 MT6 FEEL PACK","1","Privado","Física","SAN LUIS","SAN LUIS","No identificado","1966","ARGENTINA",100,"74","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-16","1980-12-05",8026,"GUALEGUAY Nº 2","Entre Ríos","Nacional","1980","12","SEDAN 4 PTAS","37","RENAULT","07","R12","1","Privado","Física","GUALEGUAY","ENTRE RIOS","Masculino","1970","ARGENTINA",100,"30","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-22","2006-05-24",10002,"SAN PEDRO DE JUJUY","Jujuy","Nacional","2006","12","SEDAN 4 PTAS","08","CHEVROLET","BH","CORSA II 4 PGL AA+DIR GAS 1.8","1","Privado","Física","SAN PEDRO DE JUJUY","JUJUY","No identificado","1967","No identificado",100,"38",""
"MEDIDAS JUDICIALES - ANOTACION","2023-03-14","2020-11-06",4049,"RIO TERCERO Nº 3","Córdoba","Nacional","2014","12","SEDAN 4 PUERTAS","07","CITROEN","BP","C4 LOUNGE 1.6 HDI EXCLUSIVE PACK SELECT","1","Privado","Física","RIO TERCERO","CORDOBA","Masculino","1972","ARGENTINA",100,"14","ARG"
"MEDIDAS JUDICIALES - ANOTACION","2023-03-14","2020-11-06",4049,"RIO TERCERO Nº 3","Córdoba","Nacional","2014","12","SEDAN 4 PUERTAS","07","CITROEN","BP","C4 LOUNGE 1.6 HDI EXCLUSIVE PACK SELECT","1","Privado","Física","RIO TERCERO","CORDOBA","Masculino","1972","ARGENTINA",100,"14","ARG"
